Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6000.000000,6110.000000,5660.000000,6110.000000,4719.226074,74195000
2000-01-05,5800.000000,6060.000000,5520.000000,5580.000000,4309.866211,74680000
2000-01-06,5750.000000,5780.000000,5580.000000,5620.000000,4340.761230,54390000
2000-01-07,5560.000000,5670.000000,5360.000000,5540.000000,4278.971680,40305000
2000-01-10,5600.000000,5770.000000,5580.000000,5770.000000,4456.618652,46880000
2000-01-11,5820.000000,6100.000000,5770.000000,5770.000000,4456.618652,59745000
2000-01-12,5610.000000,5740.000000,5600.000000,5720.000000,4417.999023,29220000
2000-01-13,5600.000000,5740.000000,5560.000000,5710.000000,4410.274902,41190000
2000-01-14,5720.000000,5880.000000,5680.000000,5830.000000,4502.960938,49375000
2000-01-17,6000.000000,6180.000000,5920.000000,6100.000000,4711.502441,63505000
2000-01-18,6160.000000,6160.000000,5980.000000,6100.000000,4711.502441,45260000
2000-01-19,6000.000000,6040.000000,5960.000000,5960.000000,4603.370117,40205000
2000-01-20,5860.000000,6040.000000,5820.000000,6040.000000,4665.162109,37315000
2000-01-21,5950.000000,5980.000000,5880.000000,5880.000000,4541.580566,32535000
2000-01-24,5800.000000,5900.000000,5700.000000,5700.000000,4402.552246,34355000
2000-01-25,5520.000000,5640.000000,5440.000000,5440.000000,4201.733398,44250000
2000-01-26,5500.000000,5520.000000,5410.000000,5480.000000,4232.628418,29285000
2000-01-27,5480.000000,5620.000000,5430.000000,5520.000000,4263.522461,27900000
2000-01-28,5640.000000,5880.000000,5540.000000,5820.000000,4495.238770,38315000
2000-01-31,5640.000000,5730.000000,5560.000000,5580.000000,4309.866211,39630000
2000-02-01,5600.000000,5680.000000,5260.000000,5320.000000,4109.049316,71470000
2000-02-02,5220.000000,5370.000000,5110.000000,5250.000000,4054.981934,64105000
2000-02-03,5250.000000,5460.000000,4970.000000,5130.000000,3962.297119,142765000
2000-02-04,5130.000000,5130.000000,5130.000000,5130.000000,3962.297119,0
2000-02-07,5140.000000,5330.000000,5040.000000,5240.000000,4047.257324,64140000
2000-02-08,5340.000000,5480.000000,5310.000000,5430.000000,4194.011230,58460000
2000-02-09,5560.000000,5720.000000,5480.000000,5720.000000,4417.999023,51050000
2000-02-10,5660.000000,5880.000000,5600.000000,5760.000000,4448.894043,61845000
2000-02-11,5960.000000,5960.000000,5680.000000,5700.000000,4402.552246,34660000
2000-02-14,5600.000000,5660.000000,5340.000000,5380.000000,4155.390625,44140000
2000-02-15,5380.000000,5420.000000,5140.000000,5200.000000,4016.362793,38315000
2000-02-16,5180.000000,5200.000000,4780.000000,5000.000000,3861.887451,73115000
2000-02-17,4940.000000,5100.000000,4910.000000,5080.000000,3923.677979,65185000
2000-02-18,5370.000000,5630.000000,5160.000000,5300.000000,4093.600830,108750000
2000-02-21,5200.000000,5260.000000,5030.000000,5070.000000,3915.954346,26485000
2000-02-22,5000.000000,5240.000000,5000.000000,5120.000000,3954.572998,24180000
2000-02-23,5220.000000,5260.000000,5100.000000,5140.000000,3970.019043,27720000
2000-02-24,5120.000000,5240.000000,5060.000000,5070.000000,3915.954346,26075000
2000-02-25,5080.000000,5150.000000,4980.000000,5120.000000,3954.572998,27875000
2000-02-28,5000.000000,5050.000000,4800.000000,4800.000000,3707.412598,30140000
2000-02-29,4900.000000,5140.000000,4840.000000,5120.000000,3954.572998,51820000
2000-03-01,5120.000000,5120.000000,5120.000000,5120.000000,3954.572998,0
2000-03-02,5880.000000,5880.000000,5520.000000,5880.000000,4541.580566,117750000
2000-03-03,6200.000000,6250.000000,5880.000000,6000.000000,4634.264160,140990000
2000-03-06,6000.000000,6050.000000,5600.000000,5640.000000,4356.209473,39150000
2000-03-07,5600.000000,5640.000000,5480.000000,5620.000000,4340.761230,30070000
2000-03-08,5520.000000,6000.000000,5500.000000,5920.000000,4572.474609,32460000
2000-03-09,5970.000000,5980.000000,5620.000000,5620.000000,4340.761230,55890000
2000-03-10,5790.000000,5800.000000,5520.000000,5540.000000,4278.971680,28605000
2000-03-13,5480.000000,5490.000000,5160.000000,5180.000000,4000.915527,32215000
2000-03-14,5170.000000,5380.000000,5160.000000,5210.000000,4024.088379,30060000
2000-03-15,5200.000000,5400.000000,5120.000000,5400.000000,4170.838379,46105000
2000-03-16,5480.000000,5520.000000,5360.000000,5400.000000,4170.838379,28795000
2000-03-17,5540.000000,5560.000000,5400.000000,5480.000000,4232.628418,24080000
2000-03-20,5600.000000,5710.000000,5530.000000,5660.000000,4371.656250,26365000
2000-03-21,5700.000000,5940.000000,5610.000000,5880.000000,4541.580566,44925000
2000-03-22,5960.000000,6300.000000,5880.000000,6200.000000,4788.740723,86975000
2000-03-23,6480.000000,6580.000000,6200.000000,6200.000000,4788.740723,64950000
